id,name,name_en,landmark_type,location,address,description,phone,website,popularity_score,rating,review_count,opening_hours,price_range,source,source_id,is_benchmark,is_active,created_at,updated_at
bbf45eaf-93eb-4a48-bf6b-089db6a11523,原爆ドーム,,historic_monument,0101000020E6100000E6AE25E4838E6040B4C876BE9F324140,,広島県の主要観光地・施設: 原爆ドーム,,,0.8480612841853746,,,,,,,t,,2025-06-07 04:57:18.158146+00,
ff607eab-2f8d-4f79-b81b-5f50a88da309,宮島,,tourist_attraction,0101000020E6100000A779C7293A8A6040CBA145B6F3254140,,広島県の主要観光地・施設: 宮島,,,0.9203505650022952,,,,,,,t,,2025-06-07 04:57:18.158146+00,
96526cb4-f649-437f-86dc-8c85427a3037,広島駅,,transportation_hub,0101000020E61000008C4AEA04348F6040A52C431CEB324140,,広島県の主要観光地・施設: 広島駅,,,0.8222114822281006,,,,,,,t,,2025-06-07 04:57:18.158146+00,
a8775b0b-2eca-40ca-be9f-c3a03f6000d0,マツダスタジアム,,sports_venue,0101000020E61000003A234A7B838F60408A8EE4F21F324140,,広島県の主要観光地・施設: マツダスタジアム,,,0.9035873328267332,,,,,,,t,,2025-06-07 04:57:18.158146+00,
a5ec81cf-1c6d-4eaa-aeee-69b918f2e7fd,本通り商店街,,shopping_district,0101000020E610000062105839B48E6040EE7C3F355E324140,,広島県の主要観光地・施設: 本通り商店街,,,0.7463863096221472,,,,,,,t,,2025-06-07 04:57:18.158146+00,
aa09a706-a6ba-4f66-99f1-c10aeb1c7785,原爆ドーム,,historic_monument,0101000020E6100000E6AE25E4838E6040B4C876BE9F324140,,広島県の主要観光地・施設: 原爆ドーム,,,0.9157633163638714,,,,,,,t,,2025-06-07 04:58:53.579883+00,
791f78ed-76f5-492f-b4ee-23d695af34f1,宮島,,tourist_attraction,0101000020E6100000A779C7293A8A6040CBA145B6F3254140,,広島県の主要観光地・施設: 宮島,,,0.8021713753266787,,,,,,,t,,2025-06-07 04:58:53.579883+00,
57338b3e-6fb4-48c3-ac3d-90f466af6fc5,広島駅,,transportation_hub,0101000020E61000008C4AEA04348F6040A52C431CEB324140,,広島県の主要観光地・施設: 広島駅,,,0.8653287517115351,,,,,,,t,,2025-06-07 04:58:53.579883+00,
12015fa5-b638-484a-979b-6f70ef00ce45,マツダスタジアム,,sports_venue,0101000020E61000003A234A7B838F60408A8EE4F21F324140,,広島県の主要観光地・施設: マツダスタジアム,,,0.9128982545869575,,,,,,,t,,2025-06-07 04:58:53.579883+00,
fe179e86-30cc-47dd-bdba-032409c4fd22,本通り商店街,,shopping_district,0101000020E610000062105839B48E6040EE7C3F355E324140,,広島県の主要観光地・施設: 本通り商店街,,,0.8703948638496317,,,,,,,t,,2025-06-07 04:58:53.579883+00,
