"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0-4歳の男性","0-4歳の女性","5-9歳の男性","5-9歳の女性","10-14歳の男性","10-14歳の女性","15-19歳の男性","15-19歳の女性","20-24歳の男性","20-24歳の女性","25-29歳の男性","25-29歳の女性","30-34歳の男性","30-34歳の女性","35-39歳の男性","35-39歳の女性","40-44歳の男性","40-44歳の女性","45-49歳の男性","45-49歳の女性","50-54歳の男性","50-54歳の女性","55-59歳の男性","55-59歳の女性","60-64歳の男性","60-64歳の女性","65-69歳の男性","65-69歳の女性","70-74歳の男性","70-74歳の女性","75-79歳の男性","75-79歳の女性","80-84歳の男性","80-84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2023/02/28","本山小学校",2815.00,1324.00,1491.00,36.00,34.00,44.00,45.00,74.00,58.00,86.00,63.00,76.00,74.00,65.00,34.00,48.00,37.00,61.00,78.00,66.00,78.00,93.00,116.00,101.00,94.00,60.00,77.00,100.00,80.00,82.00,116.00,126.00,167.00,106.00,121.00,53.00,91.00,47.00,128.00,1347.00
352161,2,"山口県","山陽小野田市","2023/02/28","赤崎小学校",5016.00,2517.00,2499.00,69.00,77.00,86.00,82.00,121.00,95.00,177.00,150.00,371.00,224.00,142.00,85.00,101.00,85.00,129.00,96.00,120.00,140.00,177.00,165.00,142.00,173.00,134.00,135.00,125.00,149.00,152.00,142.00,170.00,186.00,128.00,142.00,98.00,147.00,75.00,226.00,2613.00
352161,3,"山口県","山陽小野田市","2023/02/28","須恵小学校",8024.00,3764.00,4260.00,122.00,108.00,163.00,188.00,175.00,187.00,205.00,172.00,184.00,183.00,140.00,127.00,197.00,178.00,219.00,218.00,226.00,227.00,285.00,268.00,253.00,263.00,206.00,236.00,235.00,277.00,277.00,283.00,351.00,376.00,225.00,313.00,164.00,282.00,137.00,374.00,3995.00
352161,4,"山口県","山陽小野田市","2023/02/28","小野田小学校",5948.00,2793.00,3155.00,86.00,82.00,138.00,123.00,141.00,124.00,144.00,138.00,126.00,120.00,119.00,113.00,117.00,117.00,163.00,160.00,181.00,183.00,226.00,213.00,213.00,206.00,166.00,189.00,171.00,202.00,192.00,222.00,222.00,255.00,180.00,205.00,113.00,188.00,95.00,315.00,2964.00
352161,5,"山口県","山陽小野田市","2023/02/28","高泊小学校",4109.00,1914.00,2195.00,45.00,43.00,75.00,81.00,109.00,93.00,95.00,116.00,100.00,90.00,69.00,66.00,73.00,96.00,104.00,103.00,109.00,126.00,148.00,147.00,143.00,166.00,122.00,102.00,93.00,110.00,126.00,148.00,190.00,219.00,154.00,153.00,82.00,126.00,77.00,210.00,1941.00
352161,6,"山口県","山陽小野田市","2023/02/28","高千帆小学校",11024.00,5315.00,5709.00,194.00,207.00,288.00,251.00,278.00,247.00,276.00,244.00,250.00,221.00,251.00,199.00,277.00,239.00,340.00,357.00,371.00,371.00,398.00,396.00,354.00,376.00,299.00,295.00,292.00,334.00,347.00,349.00,384.00,476.00,310.00,384.00,225.00,319.00,181.00,444.00,5155.00
352161,7,"山口県","山陽小野田市","2023/02/28","有帆小学校",3571.00,1724.00,1847.00,45.00,29.00,60.00,42.00,69.00,48.00,73.00,67.00,72.00,71.00,56.00,50.00,60.00,52.00,64.00,66.00,90.00,88.00,130.00,114.00,123.00,111.00,113.00,108.00,113.00,134.00,133.00,161.00,208.00,238.00,146.00,165.00,94.00,131.00,75.00,172.00,1693.00
352161,8,"山口県","山陽小野田市","2023/02/28","厚狭小学校",10203.00,4860.00,5343.00,185.00,198.00,239.00,233.00,278.00,243.00,242.00,259.00,218.00,205.00,208.00,177.00,231.00,210.00,294.00,278.00,330.00,339.00,391.00,354.00,303.00,313.00,263.00,306.00,266.00,307.00,307.00,347.00,397.00,491.00,316.00,332.00,196.00,284.00,196.00,467.00,4574.00
352161,9,"山口県","山陽小野田市","2023/02/28","厚陽小学校",1795.00,812.00,983.00,12.00,22.00,18.00,23.00,22.00,29.00,35.00,39.00,33.00,29.00,28.00,17.00,28.00,24.00,36.00,35.00,39.00,32.00,45.00,44.00,59.00,61.00,56.00,51.00,55.00,72.00,82.00,93.00,106.00,110.00,62.00,82.00,52.00,70.00,44.00,150.00,906.00
352161,10,"山口県","山陽小野田市","2023/02/28","出合小学校",2594.00,1250.00,1344.00,25.00,33.00,49.00,51.00,48.00,63.00,66.00,58.00,75.00,55.00,76.00,55.00,60.00,45.00,60.00,56.00,77.00,60.00,69.00,83.00,83.00,73.00,85.00,99.00,76.00,88.00,90.00,116.00,126.00,127.00,89.00,90.00,44.00,76.00,52.00,116.00,1263.00
352161,11,"山口県","山陽小野田市","2023/02/28","埴生小学校",4857.00,2336.00,2521.00,60.00,57.00,74.00,68.00,86.00,68.00,98.00,92.00,100.00,93.00,99.00,87.00,111.00,85.00,97.00,96.00,117.00,118.00,188.00,152.00,170.00,161.00,142.00,118.00,150.00,159.00,203.00,205.00,218.00,280.00,183.00,206.00,130.00,182.00,110.00,294.00,2472.00
