"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0[sanitize]4歳の男性","0[sanitize]4歳の女性","5[sanitize]9歳の男性","5[sanitize]9歳の女性","10[sanitize]14歳の男性","10[sanitize]14歳の女性","15[sanitize]19歳の男性","15[sanitize]19歳の女性","20[sanitize]24歳の男性","20[sanitize]24歳の女性","25[sanitize]29歳の男性","25[sanitize]29歳の女性","30[sanitize]34歳の男性","30[sanitize]34歳の女性","35[sanitize]39歳の男性","35[sanitize]39歳の女性","40[sanitize]44歳の男性","40[sanitize]44歳の女性","45[sanitize]49歳の男性","45[sanitize]49歳の女性","50[sanitize]54歳の男性","50[sanitize]54歳の女性","55[sanitize]59歳の男性","55[sanitize]59歳の女性","60[sanitize]64歳の男性","60[sanitize]64歳の女性","65[sanitize]69歳の男性","65[sanitize]69歳の女性","70[sanitize]74歳の男性","70[sanitize]74歳の女性","75[sanitize]79歳の男性","75[sanitize]79歳の女性","80[sanitize]84歳の男性","80[sanitize]84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2024/03/31","本山小学校",2797.00,1333.00,1464.00,38.00,32.00,45.00,41.00,70.00,51.00,104.00,77.00,70.00,57.00,69.00,44.00,45.00,30.00,55.00,67.00,67.00,75.00,88.00,117.00,98.00,104.00,74.00,79.00,86.00,77.00,89.00,112.00,118.00,152.00,107.00,133.00,64.00,100.00,46.00,116.00,1388.00
352161,2,"山口県","山陽小野田市","2024/03/31","赤崎小学校",4868.00,2440.00,2428.00,60.00,59.00,80.00,85.00,120.00,93.00,196.00,147.00,339.00,208.00,121.00,80.00,99.00,82.00,115.00,86.00,125.00,134.00,170.00,155.00,145.00,172.00,133.00,143.00,119.00,141.00,153.00,140.00,153.00,180.00,139.00,151.00,96.00,146.00,77.00,226.00,2578.00
352161,3,"山口県","山陽小野田市","2024/03/31","須恵小学校",7898.00,3698.00,4200.00,99.00,108.00,158.00,169.00,173.00,190.00,200.00,183.00,180.00,174.00,156.00,135.00,179.00,163.00,208.00,203.00,225.00,216.00,267.00,267.00,269.00,257.00,214.00,241.00,233.00,262.00,252.00,296.00,323.00,338.00,255.00,344.00,177.00,291.00,130.00,363.00,4019.00
352161,4,"山口県","山陽小野田市","2024/03/31","小野田小学校",5890.00,2776.00,3114.00,91.00,81.00,129.00,108.00,141.00,132.00,136.00,129.00,138.00,127.00,118.00,115.00,119.00,118.00,143.00,151.00,172.00,180.00,212.00,194.00,226.00,223.00,182.00,200.00,159.00,187.00,191.00,208.00,216.00,240.00,184.00,230.00,118.00,185.00,101.00,306.00,2993.00
352161,5,"山口県","山陽小野田市","2024/03/31","高泊小学校",4095.00,1909.00,2186.00,43.00,42.00,74.00,75.00,99.00,92.00,95.00,107.00,95.00,105.00,79.00,71.00,75.00,82.00,111.00,104.00,108.00,122.00,132.00,134.00,149.00,178.00,125.00,115.00,107.00,95.00,115.00,142.00,167.00,209.00,174.00,164.00,84.00,140.00,77.00,209.00,1975.00
352161,6,"山口県","山陽小野田市","2024/03/31","高千帆小学校",10872.00,5215.00,5657.00,175.00,177.00,275.00,268.00,271.00,245.00,274.00,234.00,254.00,205.00,217.00,212.00,267.00,234.00,319.00,316.00,361.00,365.00,389.00,375.00,383.00,390.00,293.00,320.00,289.00,325.00,323.00,336.00,371.00,446.00,321.00,421.00,245.00,326.00,188.00,462.00,5138.00
352161,7,"山口県","山陽小野田市","2024/03/31","有帆小学校",3546.00,1713.00,1833.00,41.00,32.00,60.00,40.00,56.00,50.00,83.00,61.00,65.00,67.00,58.00,51.00,73.00,52.00,69.00,72.00,89.00,83.00,116.00,99.00,124.00,119.00,114.00,114.00,106.00,128.00,144.00,149.00,177.00,225.00,155.00,186.00,109.00,131.00,74.00,174.00,1715.00
352161,8,"山口県","山陽小野田市","2024/03/31","厚狭小学校",10142.00,4833.00,5309.00,165.00,189.00,225.00,227.00,270.00,241.00,244.00,253.00,225.00,208.00,204.00,173.00,232.00,213.00,285.00,278.00,342.00,322.00,357.00,341.00,328.00,336.00,276.00,310.00,260.00,321.00,289.00,319.00,381.00,455.00,337.00,371.00,224.00,283.00,189.00,469.00,4645.00
352161,9,"山口県","山陽小野田市","2024/03/31","厚陽小学校",1760.00,796.00,964.00,14.00,21.00,21.00,25.00,20.00,25.00,28.00,36.00,37.00,27.00,19.00,20.00,32.00,23.00,29.00,33.00,43.00,34.00,40.00,44.00,55.00,54.00,62.00,56.00,47.00,63.00,75.00,84.00,97.00,114.00,73.00,81.00,63.00,83.00,41.00,141.00,911.00
352161,10,"山口県","山陽小野田市","2024/03/31","出合小学校",2499.00,1210.00,1289.00,24.00,23.00,43.00,45.00,58.00,60.00,58.00,61.00,69.00,50.00,68.00,50.00,48.00,41.00,61.00,48.00,66.00,58.00,67.00,73.00,90.00,81.00,76.00,93.00,75.00,93.00,90.00,102.00,111.00,121.00,102.00,96.00,53.00,89.00,51.00,105.00,1225.00
352161,11,"山口県","山陽小野田市","2024/03/31","埴生小学校",4758.00,2311.00,2447.00,52.00,55.00,68.00,63.00,91.00,71.00,96.00,89.00,87.00,83.00,98.00,77.00,116.00,77.00,88.00,91.00,124.00,104.00,178.00,156.00,193.00,158.00,143.00,130.00,143.00,140.00,184.00,191.00,221.00,249.00,183.00,224.00,141.00,196.00,105.00,293.00,2460.00
