"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0[sanitize]4歳の男性","0[sanitize]4歳の女性","5[sanitize]9歳の男性","5[sanitize]9歳の女性","10[sanitize]14歳の男性","10[sanitize]14歳の女性","15[sanitize]19歳の男性","15[sanitize]19歳の女性","20[sanitize]24歳の男性","20[sanitize]24歳の女性","25[sanitize]29歳の男性","25[sanitize]29歳の女性","30[sanitize]34歳の男性","30[sanitize]34歳の女性","35[sanitize]39歳の男性","35[sanitize]39歳の女性","40[sanitize]44歳の男性","40[sanitize]44歳の女性","45[sanitize]49歳の男性","45[sanitize]49歳の女性","50[sanitize]54歳の男性","50[sanitize]54歳の女性","55[sanitize]59歳の男性","55[sanitize]59歳の女性","60[sanitize]64歳の男性","60[sanitize]64歳の女性","65[sanitize]69歳の男性","65[sanitize]69歳の女性","70[sanitize]74歳の男性","70[sanitize]74歳の女性","75[sanitize]79歳の男性","75[sanitize]79歳の女性","80[sanitize]84歳の男性","80[sanitize]84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2024/01/31","本山小学校",2816.00,1340.00,1476.00,36.00,36.00,45.00,43.00,68.00,52.00,99.00,75.00,77.00,65.00,70.00,43.00,43.00,30.00,58.00,70.00,70.00,75.00,90.00,112.00,99.00,102.00,73.00,77.00,84.00,79.00,93.00,110.00,117.00,158.00,111.00,132.00,62.00,100.00,45.00,117.00,1386.00
352161,2,"山口県","山陽小野田市","2024/01/31","赤崎小学校",4999.00,2520.00,2479.00,58.00,66.00,82.00,84.00,124.00,95.00,207.00,160.00,382.00,220.00,138.00,91.00,101.00,81.00,119.00,90.00,120.00,135.00,173.00,157.00,143.00,173.00,130.00,143.00,121.00,140.00,153.00,144.00,155.00,179.00,138.00,153.00,98.00,147.00,78.00,221.00,2663.00
352161,3,"山口県","山陽小野田市","2024/01/31","須恵小学校",7917.00,3698.00,4219.00,102.00,106.00,161.00,176.00,169.00,185.00,205.00,188.00,171.00,179.00,155.00,130.00,181.00,167.00,209.00,203.00,220.00,214.00,269.00,271.00,275.00,256.00,209.00,247.00,228.00,262.00,263.00,293.00,323.00,348.00,252.00,340.00,175.00,291.00,131.00,363.00,4001.00
352161,4,"山口県","山陽小野田市","2024/01/31","小野田小学校",5860.00,2765.00,3095.00,96.00,75.00,129.00,112.00,138.00,129.00,138.00,126.00,143.00,122.00,110.00,114.00,117.00,112.00,140.00,153.00,171.00,179.00,215.00,195.00,221.00,222.00,178.00,199.00,166.00,192.00,191.00,217.00,216.00,231.00,181.00,225.00,115.00,188.00,100.00,304.00,2958.00
352161,5,"山口県","山陽小野田市","2024/01/31","高泊小学校",4121.00,1918.00,2203.00,44.00,50.00,71.00,71.00,105.00,94.00,97.00,108.00,92.00,112.00,77.00,69.00,74.00,91.00,114.00,99.00,108.00,124.00,137.00,134.00,149.00,181.00,122.00,114.00,107.00,93.00,111.00,141.00,177.00,208.00,173.00,171.00,83.00,136.00,77.00,207.00,1973.00
352161,6,"山口県","山陽小野田市","2024/01/31","高千帆小学校",10911.00,5234.00,5677.00,174.00,180.00,274.00,268.00,269.00,245.00,274.00,235.00,255.00,223.00,226.00,209.00,275.00,245.00,325.00,322.00,359.00,363.00,382.00,372.00,387.00,392.00,297.00,316.00,285.00,328.00,329.00,326.00,380.00,456.00,323.00,416.00,233.00,327.00,187.00,454.00,5142.00
352161,7,"山口県","山陽小野田市","2024/01/31","有帆小学校",3566.00,1729.00,1837.00,43.00,32.00,61.00,42.00,60.00,48.00,81.00,65.00,68.00,67.00,62.00,50.00,74.00,52.00,65.00,73.00,89.00,82.00,123.00,101.00,125.00,118.00,109.00,110.00,106.00,135.00,145.00,146.00,181.00,233.00,155.00,177.00,109.00,135.00,73.00,171.00,1716.00
352161,8,"山口県","山陽小野田市","2024/01/31","厚狭小学校",10161.00,4833.00,5328.00,169.00,186.00,228.00,237.00,266.00,240.00,250.00,251.00,222.00,211.00,204.00,180.00,233.00,210.00,286.00,276.00,338.00,323.00,359.00,341.00,323.00,335.00,271.00,315.00,267.00,316.00,291.00,320.00,386.00,456.00,334.00,375.00,216.00,283.00,190.00,473.00,4634.00
352161,9,"山口県","山陽小野田市","2024/01/31","厚陽小学校",1776.00,801.00,975.00,15.00,20.00,21.00,25.00,20.00,27.00,29.00,37.00,37.00,28.00,21.00,21.00,31.00,24.00,34.00,34.00,38.00,34.00,43.00,44.00,55.00,53.00,61.00,57.00,50.00,65.00,79.00,87.00,99.00,111.00,67.00,85.00,60.00,80.00,41.00,143.00,912.00
352161,10,"山口県","山陽小野田市","2024/01/31","出合小学校",2517.00,1223.00,1294.00,26.00,23.00,44.00,47.00,59.00,56.00,60.00,59.00,71.00,55.00,70.00,49.00,50.00,44.00,63.00,47.00,65.00,55.00,68.00,78.00,87.00,81.00,78.00,93.00,79.00,90.00,88.00,105.00,111.00,126.00,102.00,96.00,51.00,85.00,51.00,105.00,1226.00
352161,11,"山口県","山陽小野田市","2024/01/31","埴生小学校",4786.00,2325.00,2461.00,52.00,55.00,72.00,67.00,91.00,68.00,94.00,88.00,95.00,89.00,96.00,78.00,110.00,76.00,89.00,91.00,125.00,108.00,181.00,153.00,188.00,161.00,151.00,130.00,141.00,140.00,190.00,190.00,223.00,256.00,181.00,223.00,145.00,197.00,101.00,291.00,2462.00
