"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0[sanitize]4歳の男性","0[sanitize]4歳の女性","5[sanitize]9歳の男性","5[sanitize]9歳の女性","10[sanitize]14歳の男性","10[sanitize]14歳の女性","15[sanitize]19歳の男性","15[sanitize]19歳の女性","20[sanitize]24歳の男性","20[sanitize]24歳の女性","25[sanitize]29歳の男性","25[sanitize]29歳の女性","30[sanitize]34歳の男性","30[sanitize]34歳の女性","35[sanitize]39歳の男性","35[sanitize]39歳の女性","40[sanitize]44歳の男性","40[sanitize]44歳の女性","45[sanitize]49歳の男性","45[sanitize]49歳の女性","50[sanitize]54歳の男性","50[sanitize]54歳の女性","55[sanitize]59歳の男性","55[sanitize]59歳の女性","60[sanitize]64歳の男性","60[sanitize]64歳の女性","65[sanitize]69歳の男性","65[sanitize]69歳の女性","70[sanitize]74歳の男性","70[sanitize]74歳の女性","75[sanitize]79歳の男性","75[sanitize]79歳の女性","80[sanitize]84歳の男性","80[sanitize]84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2023/12/31","本山小学校",2817.00,1341.00,1476.00,37.00,36.00,45.00,43.00,68.00,52.00,102.00,77.00,74.00,66.00,70.00,42.00,44.00,31.00,58.00,70.00,69.00,76.00,94.00,111.00,95.00,102.00,74.00,76.00,85.00,79.00,91.00,111.00,121.00,161.00,108.00,131.00,61.00,96.00,45.00,116.00,1383.00
352161,2,"山口県","山陽小野田市","2023/12/31","赤崎小学校",5002.00,2525.00,2477.00,60.00,66.00,84.00,85.00,121.00,97.00,213.00,160.00,378.00,218.00,137.00,91.00,100.00,80.00,118.00,89.00,126.00,139.00,168.00,155.00,144.00,175.00,132.00,143.00,123.00,139.00,151.00,147.00,156.00,179.00,139.00,147.00,97.00,149.00,78.00,218.00,2665.00
352161,3,"山口県","山陽小野田市","2023/12/31","須恵小学校",7933.00,3705.00,4228.00,102.00,107.00,164.00,175.00,169.00,188.00,205.00,187.00,169.00,179.00,151.00,129.00,184.00,166.00,211.00,208.00,222.00,212.00,271.00,271.00,269.00,256.00,209.00,245.00,233.00,274.00,271.00,286.00,321.00,358.00,251.00,333.00,172.00,290.00,131.00,364.00,4010.00
352161,4,"山口県","山陽小野田市","2023/12/31","小野田小学校",5865.00,2765.00,3100.00,95.00,74.00,130.00,113.00,137.00,129.00,138.00,126.00,143.00,121.00,111.00,113.00,116.00,116.00,139.00,153.00,171.00,181.00,222.00,191.00,217.00,222.00,176.00,204.00,169.00,190.00,192.00,215.00,217.00,236.00,177.00,227.00,115.00,190.00,100.00,299.00,2959.00
352161,5,"山口県","山陽小野田市","2023/12/31","高泊小学校",4126.00,1920.00,2206.00,43.00,50.00,72.00,72.00,107.00,96.00,93.00,109.00,92.00,110.00,77.00,69.00,73.00,91.00,116.00,102.00,110.00,121.00,134.00,138.00,149.00,182.00,125.00,109.00,104.00,97.00,111.00,141.00,180.00,212.00,172.00,167.00,85.00,136.00,77.00,204.00,1975.00
352161,6,"山口県","山陽小野田市","2023/12/31","高千帆小学校",10901.00,5232.00,5669.00,175.00,180.00,271.00,267.00,272.00,247.00,278.00,237.00,243.00,215.00,228.00,210.00,276.00,242.00,327.00,322.00,354.00,363.00,387.00,373.00,384.00,392.00,296.00,315.00,291.00,326.00,325.00,334.00,384.00,458.00,321.00,418.00,233.00,324.00,187.00,446.00,5130.00
352161,7,"山口県","山陽小野田市","2023/12/31","有帆小学校",3564.00,1726.00,1838.00,44.00,32.00,60.00,41.00,60.00,47.00,80.00,65.00,65.00,67.00,64.00,50.00,72.00,52.00,63.00,73.00,91.00,82.00,126.00,104.00,125.00,117.00,109.00,111.00,104.00,134.00,143.00,146.00,187.00,234.00,154.00,175.00,104.00,138.00,75.00,170.00,1712.00
352161,8,"山口県","山陽小野田市","2023/12/31","厚狭小学校",10173.00,4838.00,5335.00,171.00,190.00,234.00,233.00,266.00,244.00,251.00,249.00,217.00,214.00,209.00,186.00,231.00,208.00,289.00,276.00,330.00,322.00,365.00,345.00,323.00,330.00,264.00,312.00,267.00,319.00,297.00,316.00,395.00,476.00,326.00,360.00,213.00,285.00,190.00,470.00,4630.00
352161,9,"山口県","山陽小野田市","2023/12/31","厚陽小学校",1779.00,802.00,977.00,15.00,20.00,20.00,25.00,20.00,28.00,30.00,37.00,40.00,27.00,19.00,21.00,31.00,25.00,35.00,33.00,37.00,35.00,42.00,42.00,56.00,53.00,60.00,59.00,53.00,65.00,78.00,88.00,98.00,111.00,67.00,85.00,60.00,82.00,41.00,141.00,912.00
352161,10,"山口県","山陽小野田市","2023/12/31","出合小学校",2519.00,1222.00,1297.00,25.00,26.00,44.00,46.00,59.00,57.00,61.00,60.00,72.00,51.00,70.00,50.00,48.00,42.00,62.00,49.00,68.00,55.00,67.00,77.00,87.00,81.00,76.00,94.00,80.00,90.00,88.00,108.00,113.00,128.00,102.00,95.00,49.00,83.00,51.00,105.00,1223.00
352161,11,"山口県","山陽小野田市","2023/12/31","埴生小学校",4780.00,2320.00,2460.00,51.00,55.00,72.00,68.00,92.00,67.00,92.00,87.00,95.00,89.00,99.00,77.00,107.00,78.00,89.00,90.00,123.00,106.00,184.00,153.00,184.00,167.00,149.00,125.00,145.00,143.00,190.00,190.00,220.00,271.00,186.00,210.00,140.00,198.00,102.00,286.00,2453.00
