都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2024-08-31,上関,698,339,359,8,2,7,3,12,13,15,9,9,9,8,3,13,8,13,14,10,7,23,14,22,25,21,18,28,27,31,25,43,43,34,41,19,38,23,60,387,
353418,,山口県,上関町,2024-08-31,蒲井,54,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,2,4,3,7,3,27,49,
353418,,山口県,上関町,2024-08-31,四代,73,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,1,5,7,7,4,10,4,5,2,3,6,5,8,43,
353418,,山口県,上関町,2024-08-31,白井田,151,66,85,0,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,1,1,3,2,4,2,6,2,4,2,5,4,8,3,10,10,9,15,12,39,111,
353418,,山口県,上関町,2024-08-31,戸津,190,87,103,1,3,3,3,0,3,0,2,0,1,2,0,2,0,1,6,7,1,1,0,4,2,2,6,7,8,12,6,9,13,13,14,13,15,10,20,105,
353418,,山口県,上関町,2024-08-31,室津,745,357,388,7,4,12,11,11,11,8,8,6,3,13,4,14,11,18,11,13,16,21,15,29,15,24,19,32,36,33,34,36,46,36,41,26,38,18,65,420,
353418,,山口県,上関町,2024-08-31,祝島,267,130,137,3,2,2,3,0,0,0,0,0,0,1,2,3,2,3,3,2,2,3,1,6,1,7,4,8,4,13,6,20,15,21,24,15,26,23,42,193,
353418,,山口県,上関町,2024-08-31,八島,17,7,10,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,6,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
