"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0[sanitize]4歳の男性","0[sanitize]4歳の女性","5[sanitize]9歳の男性","5[sanitize]9歳の女性","10[sanitize]14歳の男性","10[sanitize]14歳の女性","15[sanitize]19歳の男性","15[sanitize]19歳の女性","20[sanitize]24歳の男性","20[sanitize]24歳の女性","25[sanitize]29歳の男性","25[sanitize]29歳の女性","30[sanitize]34歳の男性","30[sanitize]34歳の女性","35[sanitize]39歳の男性","35[sanitize]39歳の女性","40[sanitize]44歳の男性","40[sanitize]44歳の女性","45[sanitize]49歳の男性","45[sanitize]49歳の女性","50[sanitize]54歳の男性","50[sanitize]54歳の女性","55[sanitize]59歳の男性","55[sanitize]59歳の女性","60[sanitize]64歳の男性","60[sanitize]64歳の女性","65[sanitize]69歳の男性","65[sanitize]69歳の女性","70[sanitize]74歳の男性","70[sanitize]74歳の女性","75[sanitize]79歳の男性","75[sanitize]79歳の女性","80[sanitize]84歳の男性","80[sanitize]84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2023/11/30","本山小学校",2816.00,1340.00,1476.00,37.00,36.00,45.00,44.00,69.00,52.00,104.00,78.00,72.00,64.00,69.00,41.00,44.00,32.00,61.00,74.00,67.00,77.00,94.00,111.00,96.00,98.00,74.00,78.00,86.00,76.00,91.00,112.00,120.00,161.00,105.00,131.00,61.00,96.00,45.00,115.00,1381.00
352161,2,"山口県","山陽小野田市","2023/11/30","赤崎小学校",5023.00,2542.00,2481.00,63.00,69.00,85.00,83.00,119.00,99.00,223.00,164.00,368.00,215.00,138.00,92.00,102.00,80.00,123.00,92.00,122.00,136.00,173.00,154.00,145.00,174.00,131.00,144.00,124.00,138.00,152.00,148.00,157.00,181.00,140.00,144.00,101.00,149.00,76.00,219.00,2676.00
352161,3,"山口県","山陽小野田市","2023/11/30","須恵小学校",7944.00,3711.00,4233.00,105.00,111.00,165.00,177.00,168.00,183.00,205.00,188.00,169.00,180.00,155.00,130.00,184.00,166.00,214.00,209.00,218.00,215.00,274.00,266.00,268.00,256.00,204.00,243.00,235.00,279.00,270.00,286.00,321.00,356.00,250.00,332.00,176.00,288.00,130.00,368.00,4016.00
352161,4,"山口県","山陽小野田市","2023/11/30","小野田小学校",5874.00,2761.00,3113.00,90.00,78.00,130.00,110.00,136.00,129.00,140.00,126.00,141.00,125.00,111.00,113.00,120.00,117.00,140.00,159.00,170.00,176.00,224.00,194.00,216.00,221.00,175.00,203.00,167.00,189.00,191.00,220.00,216.00,237.00,179.00,225.00,115.00,189.00,100.00,302.00,2968.00
352161,5,"山口県","山陽小野田市","2023/11/30","高泊小学校",4120.00,1910.00,2210.00,42.00,50.00,72.00,71.00,107.00,96.00,94.00,111.00,89.00,110.00,75.00,67.00,71.00,93.00,113.00,101.00,110.00,123.00,138.00,140.00,148.00,182.00,127.00,104.00,99.00,98.00,113.00,146.00,180.00,211.00,171.00,163.00,83.00,137.00,78.00,207.00,1971.00
352161,6,"山口県","山陽小野田市","2023/11/30","高千帆小学校",10931.00,5258.00,5673.00,183.00,185.00,274.00,267.00,272.00,249.00,275.00,231.00,245.00,212.00,233.00,213.00,283.00,241.00,333.00,327.00,350.00,363.00,396.00,375.00,379.00,388.00,296.00,317.00,297.00,325.00,324.00,341.00,381.00,456.00,323.00,416.00,231.00,323.00,183.00,444.00,5141.00
352161,7,"山口県","山陽小野田市","2023/11/30","有帆小学校",3566.00,1728.00,1838.00,46.00,33.00,60.00,41.00,62.00,49.00,80.00,64.00,62.00,65.00,67.00,52.00,71.00,51.00,63.00,72.00,92.00,84.00,124.00,101.00,125.00,119.00,110.00,108.00,104.00,135.00,146.00,152.00,184.00,231.00,153.00,175.00,105.00,139.00,74.00,167.00,1711.00
352161,8,"山口県","山陽小野田市","2023/11/30","厚狭小学校",10167.00,4837.00,5330.00,172.00,185.00,234.00,232.00,268.00,245.00,248.00,249.00,222.00,211.00,204.00,187.00,228.00,210.00,289.00,270.00,329.00,326.00,373.00,343.00,319.00,335.00,259.00,311.00,270.00,318.00,302.00,322.00,391.00,473.00,327.00,356.00,213.00,291.00,189.00,466.00,4622.00
352161,9,"山口県","山陽小野田市","2023/11/30","厚陽小学校",1783.00,803.00,980.00,15.00,20.00,20.00,26.00,20.00,28.00,30.00,36.00,40.00,27.00,20.00,21.00,30.00,25.00,36.00,34.00,37.00,34.00,43.00,42.00,55.00,52.00,60.00,59.00,53.00,67.00,78.00,89.00,98.00,111.00,67.00,84.00,61.00,82.00,40.00,143.00,912.00
352161,10,"山口県","山陽小野田市","2023/11/30","出合小学校",2529.00,1228.00,1301.00,25.00,26.00,46.00,48.00,57.00,57.00,60.00,58.00,74.00,50.00,71.00,52.00,51.00,43.00,61.00,49.00,69.00,53.00,68.00,80.00,87.00,78.00,77.00,96.00,78.00,90.00,89.00,107.00,114.00,127.00,101.00,96.00,50.00,84.00,50.00,107.00,1233.00
352161,11,"山口県","山陽小野田市","2023/11/30","埴生小学校",4786.00,2319.00,2467.00,50.00,56.00,72.00,70.00,93.00,67.00,92.00,86.00,98.00,92.00,100.00,78.00,106.00,80.00,88.00,92.00,124.00,108.00,182.00,151.00,185.00,167.00,147.00,124.00,145.00,146.00,190.00,190.00,221.00,270.00,190.00,210.00,134.00,196.00,102.00,284.00,2448.00
