都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
353051,1,山口県,周防大島町,なぎさ水族館,ナギサスイゾクカン,,,山口県大島郡周防大島町大字伊保田2211-3,,33.951215,132.43794,月火水木金土日,9:00,16:30,【休館日】12月30日～1月2日,210,大人210円、小学生・中学生100円,なぎさ水族館」の人気スポットは、日本最大級の広さを誇る（屋内の）「タッチングプール」です。潮溜まりにはヒトデやナマコに大きなヤドカリ、奥のプールには大小さまざまな魚やタコ、なんとサメがいます。,,,,,,(0820)75-1571,,,,https://nagisapark.jimdofree.com/,
353051,2,山口県,周防大島町,山口県立片添ヶ浜海浜オートキャンプ場,ヤマグチケンリツカタゾエガハマカイヒンオートキャンプジョウ,,,山口県大島郡周防大島町片添ケ浜 ,,33.895961,132.361021,月火水木金土日,,,年末年始を除き利用可能,3660,"宿泊3,660円、日帰り2,080円",片添ヶ浜海水浴場に隣接するオートキャンプ場です。47サイト炊飯棟、シャワー、トイレ完備（テントなどのキャンプ用品のレンタルもあります。,,,,,山口県立片添ヶ浜海浜公園管理事務局,(0820)78-0985,,,,http://katazoe.ac/,
353051,3,山口県,周防大島町,道の駅サザンセトとうわ,ミチノエキサザンセトトウワ,,,山口県大島郡周防大島町大字西方1958-77,,33.904418,132.341584,月火木金土日,10:00,18:00,【休館日】年末年始（１２月３０日～１月２日）,,,道の駅サザン・セトとうわは、周防大島町をギュッと詰めこんだ楽しさ満載のロードステーションです。周防大島の特産物、名産品を数多くお取り揃えてしております。,,,,,,(0820)78-0033,,,,https://sazan-seto.com/,
353051,4,山口県,周防大島町,周防大島文化交流センター,スオウオオシマブンカコウリュウセンター,,,山口県大島郡周防大島町平野417-11,,33.907962,132.354647,月火木金土日,9:30,18:00,【休館日】年末年始（１２月２８日～１月３日）,300,大人300円、小学生・中学生150円,山口県出身の民俗学者、宮本常一先生の関連資料の展示室や体験学習室が主体の施設です。,,,,,,(0820)78-2514,,,,http://www.towatown.jp/koryu-center/koryu.html,
353051,5,山口県,周防大島町,星野哲郎記念館,ホシノテツロウキネンカン,,,山口県大島郡周防大島町大字平野417-11,,33.907962,132.354647,月火木金土日,9:00,17:00,水曜日が祝日の場合は翌日が休館日,520,高校生以上520円、小学生・中学生300円,「男はつらいよ」「なみだ船」「アンコ椿は恋の花」「三百六十五歩のマーチ」「兄弟船」など、名曲の数々を手がけた周防大島町出身で名誉町民の作詞家星野哲郎先生の記念館です。,,,,,,(0820)78-0365,,,,http://www.hoshino-museum.jp/index.html,
353051,6,山口県,周防大島町,陸奥記念館,ムツキネンカン,,,山口県大島郡周防大島町大字伊保田,,33.9455,132.42882,月火水木金土日,9:00,16:30,年中無休,430,大人430円、小学生・中学生210円,戦艦陸奥から回収された物品をはじめ、全国から寄せられた遺品・資料の展示を行う資料館です。,,,,,,(0820)75-0042,,,,https://nagisapark.jimdofree.com/,
353051,7,山口県,周防大島町,グリーンステイながうら潮風呂保養館,グリーンステイナガウラシオブロホヨウカン,,,山口県大島郡周防大島町大字椋野1144-1,,33.965104,132.233476,月水木金土日,,,4月～10月：午前10時～午後9時、11月～3月：午前10時～午後8時,520,中学生以上520円、4歳以上小学生以下300円 ,昔からゆかりのある潮風呂を再現。浴槽からは瀬戸の海や夕日が望め、男女ともサウナを完備。階上には休憩室もあります。,,,,,,(0820)79-0021,,,,https://www.town.suo-oshima.lg.jp/syoukoukankou/nagaura.html,
353051,8,山口県,周防大島町,片添ヶ浜温泉　遊湯ランド,カタゾエガハマオンセン　ユウユランド,,,山口県大島郡周防大島町大字平野1195,,33.896853,132.360987,月火木金土日,,,4月～9月：午前10時～午後9時、10月～3月：午前10時～午後8時,520,中学生以上520円、4歳以上小学生以下300円 ,片添ヶ浜を一望でき、四季折々の風景が楽しめる温泉、片添ヶ浜温泉「遊湯ランド」。泉質は含弱放射能‐ナトリウム‐塩化物泉で、神経痛・五十肩・痛風・慢性婦人病等々。,,,,,,(0820)78-2226,,,,https://www.town.suo-oshima.lg.jp/syoukoukankou/yuyuland.html,
353051,9,山口県,周防大島町,竜崎温泉潮風の湯,リュウザキオンセンシオカゼノユ,,,山口県大島郡周防大島町大字東安下庄685-2,,33.893208,132.29022,火水木金土日,10:00,21:00,毎週月曜日休館（祝日の場合は翌日）,730,大人730円　小人410円,浴室や露天風呂から 安下庄湾と嵩山（だけさん）を一望することができ、その眺望は大島富士と呼ばれ絶景です。 また、施設内では レストランでの食事やカラオケを楽しむこともできます。,,,,,,(0820)77-1234,,,,https://www.town.suo-oshima.lg.jp/syoukoukankou/ryugasakionsen.html,
353051,10,山口県,周防大島町,長浦スポーツ海浜スクエア,ナガウラスポーツカイヒンスクエア,,,山口県大島郡周防大島町大字椋野150,,33.962194,132.2352,月火水木金土日,,,利用可能時間は施設により異なる,,,ビジターセンター、交流館ログハウス棟、潮風呂保養館、センターハウス棟、マウンテンバイクオフロードコース、ローラースケートコース,,,,,,(0820)72-2700,,,,https://www.town.suo-oshima.lg.jp/syoukoukankou/nagaura.html,
