全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考
352110,5000020352110,,山口県長門市,松島キャンプ場,マツシマキャンプジョウ,,,,,山口県長門市三隅下野波瀬,山口県,長門市,三隅下,,,34.38681801,131.2573546500203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光政策課,0837-23-1252,,,,,,,,https://nanavi.jp/activities/matushima-camp/,
352110,5000020352110,,山口県長門市,村田清風記念館,ムラタセイフウキネンカン,,,,,山口県長門市三隅下2510-1,山口県,長門市,三隅下,2510-1 ,,34.3698988,131.214935081304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,村田清風記念館,0837-43-2818,,,,,,,,https://nanavi.jp/sightseeing/murataseifuu/,
352110,5000020352110,,山口県長門市,二位ノ浜キャンプ場,ニイノハマキャンプジョウ,,,,,山口県長門市日置上1026-1,山口県,長門市,日置上,1026-1,,34.40878875,131.11310359479756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光政策課,0837-23-1252,,,,,,,,https://nanavi.jp/activities/niinohama-camp/,
352110,5000020352110,,山口県長門市,千畳敷高原キャンプ場,センジョウジキコウゲンキャンプジョウ,,,,,山口県長門市日置中1138-1,山口県,長門市,日置中,1138-1,,34.41377455,131.0906216659619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光政策課,0837-23-1252,,,,,,,,https://nanavi.jp/activities/senjoujiki-camp/,
352110,5000020352110,,山口県長門市,川尻岬キャンプ場,カワシリミサキキャンプジョウ,,,,,山口県長門市油谷川尻,山口県,長門市,油谷川尻,,,34.43828954,130.9756623543226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光政策課,0837-23-1252,,,,,,,,https://nanavi.jp/activities/kawasirimisaki-camp/,
352110,5000020352110,,山口県長門市,小田大浜キャンプ場,オオハマキャンプジョウ,,,,,山口県長門市油谷川尻,山口県,長門市,油谷川尻,,,34.41169465,131.01369795246956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,油谷サーフショップリバー,0837-34-1363,,,,,,,,https://nanavi.jp/activities/ohama-camp/,
352110,5000020352110,,山口県長門市,青海島キャンプ村,オオミジマキャンプソン,,,,,山口県長門市仙崎2057,山口県,長門市,仙崎,2057,,34.42728267,131.22218876596247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青海島キャンプ村,0837-26-1357,,,,,,,,https://nanavi.jp/activities/omijima-camp/,
352110,5000020352110,,山口県長門市,伊上海浜公園オートキャンプ場,イガミカイヒンコウエンオートキャンプジョウ,,,,,山口県長門市油谷伊上2403-8,山口県,長門市,油谷伊上,2403-8,,34.37416121,131.0188839966481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊上海浜公園オートキャンプ場,0837-33-3000,,,,,,,,https://nanavi.jp/activities/igami-camp/,
352110,5000020352110,,山口県長門市,青海島高山オートキャンプ場,オオミジマタカヤマオートキャンプジョウ,,,,,山口県長門市仙崎733-7,山口県,長門市,仙崎,733-7,,34.41856456,131.1749513669503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青海島高山オートキャンプ場,0837-33-3000,,,,,,,,https://nanavi.jp/activities/takayama-camp/,
352110,5000020352110,,山口県長門市,王子山公園,オオジヤマコウエン,,,,,山口県長門市仙崎大泊,山口県,長門市,仙崎大泊,,,34.39914131,131.19843175187415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青海島高山オートキャンプ場,0837-26-4430,,,,,,,,https://nanavi.jp/activities/oujiyamakouen/,
352110,5000020352110,,山口県長門市,くじら資料館,クジラシリョウカン,,,,,山口県長門市通671-17,山口県,長門市,通,671-17,,34.42448482,131.25439366781413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,くじら資料館,0837-28-0756,,,,,,,,https://nanavi.jp/sightseeing/kujira/,
352110,5000020352110,,山口県長門市,みすゞ記念館,ミスズキネンカン,,,,,山口県長門市仙崎1308,山口県,長門市,仙崎,1308,,34.39168865,131.19874085432062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,みすゞ記念館,0837-26-5155,,,,,,,,https://nanavi.jp/sightseeing/misuzukinenkan/,
352110,5000020352110,,山口県長門市,道の駅センザキッチン,ミチノエキセンザキッチン,,,,,山口県長門市仙崎4297-1,山口県,長門市,仙崎,4297-1,,34.38840837,131.2019824795375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,道の駅センザキッチン,0837-27-0300,,,,,,,,https://nanavi.jp/senzakitchen/,
352110,5000020352110,,山口県長門市,香月泰男美術館,カズキヤスオビジュツカン,,,,,山口県長門市三隅中湯免226,山口県,長門市,三隅中湯免,226,,34.35858548,131.26210117711736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,香月泰男美術館,0837-43-2500,,,,,,,,https://nanavi.jp/sightseeing/kazukiyasuo/,
352110,5000020352110,,山口県長門市,楊貴妃の里,ヨウキヒノサト,,,,,山口県長門市油谷向津具下久津3539,山口県,長門市,油谷向津具下久津,3539,,34.4059191,130.97278423897993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光政策課,0837-23-1252,,,,,,,,https://nanavi.jp/sightseeing/youkihinosato/,
352110,5000020352110,,山口県長門市,ルネッサながと,ルネッサナガト,,,,,山口県長門市仙崎10818-1,山口県,長門市,仙崎,10818-1,,34.38024902,131.19710132669906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ルネッサながと,0837-26-6001,,,,,,,,https://nanavi.jp/sightseeing/renessa/,
352110,5000020352110,,山口県長門市,Ｍ20000,エム20000,,,,,山口県長門市仙崎1410-1,山口県,長門市,仙崎,1410-1,,34.39304772,131.1985037733356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光案内所YUKUTE,0837-26-0708,,,,,,,,https://nanavi.jp/sightseeing/misuzumozaiku-m20000/,
352110,5000020352110,,山口県長門市,菅無田公園,スゲムタコウエン,,,,,山口県長門市日置中北山,山口県,長門市,日置中北山,,,34.41101848,131.09404090299833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光政策課,0837-23-1252,,,,,,,,https://nanavi.jp/activities/sugemutakouen/,
352110,5000020352110,,山口県長門市,熊野山公園,クマノヤマコウエン,,,,,山口県長門市俵山,山口県,長門市,俵山,,,34.28901084,131.1003358813008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市観光政策課,0837-23-1252,,,,,,,,https://nanavi.jp/activities/kumanoyamapark/,
352110,5000020352110,,山口県長門市,川尻岬,カワシリミサキ,,,,,油谷向津具下,山口県,長門市,長門市油谷向津具下,,,34.44161469,130.97354292749904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（一社）長門市観光コンベンション協会,0837-26-0074,,,,,,,,https://nanavi.jp/sightseeing/kawashirimisaki/,
352110,5000020352110,,山口県長門市,八幡人丸神社と古典樹苑,ヤハタヒトマルジンジャトコテンジュエン,,,,,油谷新別名人丸35,山口県,長門市,長門市油谷新別名人丸,35,,34.37672297,131.06652036294133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人丸神社,0837-32-2511,,,,,,,,https://nanavi.jp/sightseeing/yahatahitomarujinja/,
352110,5000020352110,,山口県長門市,二尊院五輪塔（楊貴妃の墓）,ニソンインゴリントウヨウキヒノハカ,,,,,油谷向津具下久津3538,山口県,長門市,長門市油谷向津具下久津,3538,,34.40548451,130.974291264862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二尊院,0837-34-1065,,,,,,,,https://nanavi.jp/sightseeing/nisonin/,
352110,5000020352110,,山口県長門市,大寧寺,タイネイジ,,,,,深川湯本1074,山口県,長門市,深川湯本,1074,,34.32822467,131.16295181199703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大寧寺,0837-25-3469,,,,,,,,https://nanavi.jp/sightseeing/taineiji/,
352110,5000020352110,,山口県長門市,西圓寺　本堂・山門,サイエンジ　ホンドウ・サンモン,,,,,仙崎大日比2111,山口県,長門市,仙崎大日比,2111,,34.41444439,131.21041484161492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西圓寺,0837-26-0665,,,,,,,,https://nanavi.jp/feature/saienji_aobas/,
