警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
山陽小野田,0007,負傷,000,001,国道190号,山陽小野田市,2021,01,01,07,55,1昼明,曇,市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.01291667,131.1629444,金曜,当日
宇部,0001,負傷,000,003,市道,宇部市,2021,01,01,15,21,2昼,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.96866667,131.198,金曜,当日
防府,0007,負傷,000,001,国道262号,防府市,2021,01,02,05,46,5夜,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,35～44歳,25～34歳,中型貨物,歩行者,事業用,対象外当事者,損傷なし,負傷,34.0845,131.5481389,土曜,その他
宇部,0014,負傷,000,001,県道,宇部市,2021,01,02,14,06,2昼,曇,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.00602778,131.2336111,土曜,その他
宇部,0010,負傷,000,003,国道２号,宇部市,2021,01,02,14,24,2昼,曇,市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.03980556,131.2478889,土曜,その他
山陽小野田,0001,負傷,000,002,国道190号,山陽小野田市,2021,01,02,16,19,3昼暮,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.02519444,131.1084444,土曜,その他
長府,0003,負傷,000,001,市道,下関市,2021,01,03,09,24,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,55～64歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.06888889,131.0441667,日曜,その他
周南,0003,負傷,000,001,県道,周南市,2021,01,03,11,01,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.01852778,131.8383056,日曜,その他
宇部,0007,負傷,000,001,市道,宇部市,2021,01,03,14,23,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.9895,131.2073611,日曜,その他
防府,0024,負傷,000,002,国道２号,防府市,2021,01,03,18,25,5夜,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.05661111,131.6561111,日曜,その他
下関,0022,負傷,000,001,その他(幅員測定可),下関市,2021,01,04,06,37,6夜明,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,規制なし,人対車両,65～74歳,75歳以上,普通乗用,歩行者,事業用,対象外当事者,損傷なし,負傷,33.95691667,130.9216944,月曜,その他
宇部,0026,負傷,000,001,市道,宇部市,2021,01,04,07,58,1昼明,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,01～24歳,01～24歳,普通乗用,駆動補助装置付自転車,自家用,対象外当事者,損傷なし,負傷,33.95847222,131.307,月曜,その他
柳井,0008,負傷,000,001,県道,柳井市,2021,01,04,09,22,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　中　中,直路,交差点内,規制なし,車両相互,35～44歳,25～34歳,普通乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.02890639,132.1084164,月曜,その他
宇部,0013,負傷,000,002,国道190号,宇部市,2021,01,04,13,20,2昼,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,普通乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,33.9945,131.3483056,月曜,その他
長府,0005,負傷,000,004,県道,下関市,2021,01,04,13,42,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,45～54歳,軽乗用,軽乗用,自家用,自家用,負傷,負傷,34.12819444,131.03225,月曜,その他
下関,0009,負傷,000,001,国道191号,下関市,2021,01,04,17,57,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,01～24歳,35～44歳,普通乗用,軽二輪　126～250cc,自家用,自家用,損傷なし,負傷,33.97052778,130.9198611,月曜,その他
長門,0002,負傷,000,001,市道,長門市,2021,01,04,18,08,4夜暮,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,人対車両,35～44歳,55～64歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.383905,131.1983306,月曜,その他
周南,0008,負傷,000,001,市道,周南市,2021,01,04,18,55,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　小,直路,交差点内,規制なし,人対車両,55～64歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.04702778,131.8091389,月曜,その他
周南,0028,負傷,000,001,その他(広場等),周南市,2021,01,05,10,45,2昼,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,規制なし,人対車両,65～74歳,55～64歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.05958333,131.816,火曜,その他
防府,0012,負傷,000,001,市道,防府市,2021,01,05,11,42,2昼,晴,市街地,舗装　乾燥,交差点,点滅１灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,01～24歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.05356583,131.5864922,火曜,その他
防府,0022,負傷,000,002,市道,防府市,2021,01,05,11,49,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,65～74歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.05905556,131.5670447,火曜,その他
