警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
高速隊,0001,負傷,000,002,高速道路,下関市,2022,01,01,07,47,1昼明,晴,非市街地,舗装　乾燥,橋,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,65～74歳,普通乗用,普通貨物,自家用,自家用,負傷,損傷なし,33.96417611,130.9540583,土曜,当日
光,0002,負傷,000,001,県道,光市,2022,01,01,07,56,1昼明,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直線,交差点内,規制なし,人対車両,75歳以上,55～64歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.9731025,131.9245428,土曜,当日
周南,0008,負傷,000,001,国道２号,周南市,2022,01,01,17,05,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.04600028,131.8348664,土曜,当日
柳井,0001,負傷,000,001,国道188号,平生町,2022,01,02,09,21,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,65～74歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.94345028,132.0710206,日曜,その他
下松,0007,負傷,000,001,市道,下松市,2022,01,02,10,10,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　標準　反射式,表示あり,交差点　中　小,直線,交差点内,規制なし,車両相互,25～34歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.02187472,131.8490892,日曜,その他
下松,0009,負傷,000,002,市道,下松市,2022,01,02,11,30,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.02789944,131.8494669,日曜,その他
山陽小野田,0002,負傷,000,001,市道,山陽小野田市,2022,01,02,11,50,2昼,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　大　小,直線,交差点内,規制なし,人対車両,25～34歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.97145,131.181065,日曜,その他
長府,0005,負傷,000,001,国道２号,下関市,2022,01,02,14,11,2昼,晴,非市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,損傷なし,34.00434806,130.9807142,日曜,その他
長府,0008,負傷,000,001,県道,下関市,2022,01,02,14,22,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直線,交差点内,規制なし,車両相互,01～24歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.13011056,130.9895258,日曜,その他
周南,0016,負傷,000,002,その他,周南市,2022,01,02,18,20,5夜,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.02112083,131.8345431,日曜,その他
岩国,0019,負傷,000,001,国道188号,岩国市,2022,01,02,19,42,5夜,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,人対車両,45～54歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.10513222,132.2016333,日曜,その他
長府,0006,負傷,000,001,国道２号,下関市,2022,01,02,20,41,5夜,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,損傷なし,34.01276583,130.9977397,日曜,その他
宇部,0003,負傷,000,001,市道,宇部市,2022,01,03,02,10,5夜,曇,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　小　小,直線,交差点内,規制なし,人対車両,25～34歳,35～44歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.9402475,131.2828256,月曜,その他
高速隊,0003,負傷,000,002,高速道路,岩国市,2022,01,03,13,16,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.109065,132.1137981,月曜,その他
高速隊,0004,負傷,000,002,高速道路,岩国市,2022,01,03,13,16,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,45～54歳,普通乗用,普通貨物,自家用,自家用,損傷なし,損傷なし,34.109065,132.1137981,月曜,その他
防府,0010,負傷,000,002,国道２号,防府市,2022,01,03,14,58,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.0473775,131.6263364,月曜,その他
萩,0007,負傷,000,001,国道191号,萩市,2022,01,03,20,44,5夜,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,55～64歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.45735222,131.4259994,月曜,その他
長府,0009,負傷,000,001,一般の交通の用に供するその他の道路,下関市,2022,01,04,12,16,2昼,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.02311556,131.0056822,火曜,その他
岩国,0015,負傷,000,001,市道,岩国市,2022,01,04,13,37,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直線,交差点内,規制なし,車両相互,25～34歳,75歳以上,普通乗用,原付一種,自家用,自家用,損傷なし,負傷,34.1599975,132.2210492,火曜,その他
防府,0003,負傷,000,002,国道２号,防府市,2022,01,04,20,30,5夜,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.06395333,131.5492869,火曜,その他
萩,0008,負傷,000,001,県道,萩市,2022,01,05,08,04,1昼明,曇,市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,45～54歳,普通乗用,普通乗用,自家用,自家用,負傷,損傷なし,34.47785861,131.5281375,水曜,その他
萩,0002,死亡,001,000,市道,萩市,2022,01,05,08,50,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,原付一種,相手なし,自家用,対象外当事者,死亡,対象外当事者,34.42065833,131.3977789,水曜,その他
山口南,0002,負傷,000,001,国道９号,山口市,2022,01,05,11,50,2昼,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　大,直線,交差点内,規制なし,車両相互,01～24歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.12830056,131.4139753,水曜,その他
高速隊,0002,負傷,000,001,高速道路,山口市,2022,01,05,13,52,2昼,曇,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,55～64歳,大型貨物,普通乗用,事業用,自家用,損傷なし,損傷なし,34.13275528,131.4309269,水曜,その他
下松,0011,負傷,000,001,一般の交通の用に供するその他の道路,下松市,2022,01,05,14,49,2昼,曇,市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両単独,65～74歳,不明,普通乗用,物件等,自家用,対象外当事者,損傷なし,対象外当事者,34.03575028,131.8865906,水曜,その他
長府,0004,負傷,000,001,国道491号,下関市,2022,01,05,17,50,4夜暮,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,25～34歳,普通乗用,普通貨物,自家用,自家用,損傷なし,負傷,34.04595139,131.0160308,水曜,その他
周南,0010,負傷,000,001,市道,周南市,2022,01,05,19,00,5夜,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.03919833,131.8439631,水曜,その他
岩国,0017,負傷,000,001,国道２号,岩国市,2022,01,05,23,11,5夜,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.09936861,132.0874519,水曜,その他
周南,0007,負傷,000,001,県道,周南市,2022,01,06,06,47,6夜明,雨,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示あり,標識　規制なし,表示あり,交差点　大　大,直線,交差点内,規制なし,車両相互,01～24歳,55～64歳,普通乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.06023417,131.8004111,木曜,その他
防府,0008,負傷,000,002,県道,防府市,2022,01,06,09,41,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直線,交差点内,規制なし,車両相互,35～44歳,65～74歳,軽乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,34.06575444,131.5567886,木曜,その他
宇部,0004,負傷,000,001,市道,宇部市,2022,01,06,10,45,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直線,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,01～24歳,軽乗用,自転車,自家用,自転車,損傷なし,負傷,33.97535472,131.2276772,木曜,その他
下関,0016,負傷,000,001,県道,下関市,2022,01,06,11,20,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直線,交差点内,規制なし,車両相互,65～74歳,65～74歳,軽貨物,自転車,自家用,自転車,損傷なし,負傷,34.00306167,130.9304947,木曜,その他
下関,0020,負傷,000,002,市道,下関市,2022,01,06,11,30,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直線,交差点内,規制なし,車両相互,45～54歳,65～74歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99727778,130.9396389,木曜,その他
宇部,0011,負傷,000,001,市道,宇部市,2022,01,06,20,23,5夜,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示あり,交差点　中　小,直線,交差点内,規制なし,車両相互,55～64歳,01～24歳,普通乗用,軽二輪　126～250cc,自家用,自家用,損傷なし,負傷,33.95813778,131.2460753,木曜,その他
