警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
防府,0004,死亡,001,000,市道,防府市,2020,01,09,17,43,4夜暮,曇,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,カーブ右,交差点内,規制なし,人対車両,35～44歳,65～74歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.01933889,131.5491931,木曜,その他
山口,0015,死亡,001,001,県道,山口市,2020,01,22,13,17,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,65～74歳,軽乗用,軽貨物,自家用,自家用,死亡,負傷,34.15456028,131.5060747,水曜,その他
宇部,0017,死亡,001,000,国道２号,宇部市,2020,01,24,07,40,1昼明,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,25～34歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.05327444,131.28576,金曜,その他
下関,0043,死亡,001,000,県道,下関市,2020,02,15,13,00,2昼,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両単独,55～64歳,不明,軽乗用,物件等,自家用,対象外当事者,死亡,対象外当事者,33.94052167,130.9017353,土曜,その他
岩国,0043,死亡,001,001,国道188号,岩国市,2020,02,17,14,03,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両単独,65～74歳,不明,軽貨物,物件等,自家用,対象外当事者,死亡,対象外当事者,34.05773167,132.2074517,月曜,その他
光,0015,死亡,001,000,県道,周南市,2020,02,20,19,17,5夜,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,規制なし,人対車両,35～44歳,45～54歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.03028972,131.9480689,木曜,その他
美祢,0005,死亡,001,000,県道,美祢市,2020,03,08,12,38,2昼,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両単独,01～24歳,不明,軽二輪　126～250cc,物件等,自家用,対象外当事者,死亡,対象外当事者,34.25412611,131.3160619,日曜,その他
下松,0029,死亡,001,000,国道188号,下松市,2020,03,28,20,24,5夜,雨,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　大,直路,交差点内,規制なし,車両相互,25～34歳,65～74歳,軽乗用,原付二種　51～125cc,自家用,自家用,損傷なし,死亡,34.02938444,131.8639981,土曜,その他
下関,0097,死亡,001,000,市道,下関市,2020,04,03,21,42,5夜,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,55～64歳,65～74歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,33.92278389,130.9013906,金曜,その他
下関,0107,死亡,001,000,国道９号,下関市,2020,04,11,00,16,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　大,直路,交差点内,規制なし,車両相互,01～24歳,01～24歳,普通乗用,小型二輪　251～400cc,自家用,自家用,損傷なし,死亡,33.95193389,130.9309556,土曜,その他
岩国,0084,死亡,001,000,国道188号,岩国市,2020,04,22,19,26,4夜暮,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,25～34歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.12710694,132.1992503,水曜,その他
岩国,0090,死亡,001,001,国道２号,岩国市,2020,04,27,13,50,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,25～34歳,軽貨物,小型二輪　401～750cc,自家用,自家用,負傷,死亡,34.09174222,132.0582778,月曜,その他
山陽小野田,0057,死亡,001,000,市道,山陽小野田市,2020,05,06,16,12,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両単独,45～54歳,不明,小型特殊農耕,相手なし,対象外当事者,対象外当事者,死亡,対象外当事者,34.01468972,131.2071364,水曜,当日
防府,0108,死亡,001,000,県道,防府市,2020,05,21,22,06,5夜,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　中　小,直路,交差点内,規制なし,車両相互,35～44歳,75歳以上,軽乗用,自転車,自家用,対象外当事者,損傷なし,死亡,34.05264722,131.5531592,木曜,その他
柳井,0052,死亡,001,000,市道,柳井市,2020,06,03,04,18,6夜明,晴,市街地,舗装　乾燥,踏切,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,列車,45～54歳,01～24歳,列車,歩行者,対象外当事者,対象外当事者,損傷なし,死亡,33.97086361,132.0926983,水曜,その他
山口,0085,死亡,001,000,国道９号,山口市,2020,06,09,01,37,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,55～64歳,普通乗用,自転車,自家用,対象外当事者,損傷なし,死亡,34.13460889,131.4223,火曜,その他
山口,0098,死亡,001,000,市道,山口市,2020,06,30,15,00,2昼,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,75歳以上,普通乗用,自転車,自家用,対象外当事者,損傷なし,死亡,34.16681306,131.4698306,火曜,その他
山口,0101,死亡,001,000,国道435号,山口市,2020,07,07,18,55,3昼暮,雨,非市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,01～24歳,大型乗用,普通乗用,事業用,自家用,損傷なし,死亡,34.18738833,131.4232414,火曜,その他
光,0087,死亡,001,001,国道188号,光市,2020,08,15,20,13,5夜,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,車両単独,01～24歳,不明,小型二輪　751cc以上,物件等,自家用,対象外当事者,死亡,対象外当事者,33.94115639,131.967205,土曜,その他
